Project Name,Full Name,URL,Stars,Forks,Primary Language,Latest Commit Time,App,Cloud,Edge,Device,Primary Lan P/T Ratio,LOC,Primaryl Lan LOC,Primary Lan TestLOC,HasTest,PythonTestCases,PythonTestLOC,JSTestCases,JSTestLOC,JavaTestCases,JavaTestLOC
MySensors,mysensors/MySensors,https://github.com/mysensors/MySensors,1.2k,890,C,2022-04-18T06:21:14Z,0,0,1,1,N/A,51072,13848,N/A,1,0,0,0,0,0,0
neeo-sdk,NEEOInc/neeo-sdk,https://github.com/NEEOInc/neeo-sdk,49,14,TypeScript,2019-02-04T17:32:30Z,0,1,0,0,N/A,20515,10478,N/A,1,0,0,0,0,0,0
nodel,museumsvictoria/nodel,https://github.com/museumsvictoria/nodel,51,11,Java,2022-05-30T08:30:06Z,1,1,0,0,N/A,43760,25343,0,0,0,0,0,0,0,0
NodeManager,mysensors/NodeManager,https://github.com/mysensors/NodeManager,128,83,C,2018-12-02T17:44:20Z,0,0,0,1,N/A,7260,2577,N/A,0,0,0,0,0,0,0
node-tradfri-client,AlCalzone/node-tradfri-client,https://github.com/AlCalzone/node-tradfri-client,227,29,TypeScript,2022-06-01T03:12:38Z,0,1,0,0,N/A,21676,6706,N/A,1,0,0,0,0,0,0
OctoPrint-AstroPrint,AstroPrint/OctoPrint-AstroPrint,https://github.com/AstroPrint/OctoPrint-AstroPrint,26,7,Python,2021-05-19T19:24:28Z,0,0,0,1,N/A,5700,3012,N/A,0,0,0,0,0,0,0
openhab-core,openhab/openhab-core,https://github.com/openhab/openhab-core,676,343,Java,2022-06-22T20:38:48Z,1,1,0,0,4.660316188,180011,155387,27452,1,0,0,0,0,2151,27452
operating-system,home-assistant/operating-system,https://github.com/home-assistant/operating-system,2.4k,660,none,2022-06-16T00:28:51Z,0,0,0,0,N/A,0,0,N/A,0,0,0,0,0,0,0
particle-cli,particle-iot/particle-cli,https://github.com/particle-iot/particle-cli,213,94,JavaScript,2022-06-08T01:35:53Z,1,0,0,0,4.415878144,37045,23467,4333,1,0,0,752,4333,0,0
PedalinoMini,alf45tar/PedalinoMini,https://github.com/alf45tar/PedalinoMini,267,60,C,2022-06-12T13:02:12Z,0,0,0,1,N/A,20226,1248,N/A,0,0,0,0,0,0,0
phpMyDomo,phpMyDomo/phpMyDomo,https://github.com/phpMyDomo/phpMyDomo,32,19,PHP,2021-12-30T12:41:14Z,1,0,0,0,N/A,69201,33873,N/A,1,0,0,0,0,0,0
pihome,pihome-shc/pihome,https://github.com/pihome-shc/pihome,44,25,PHP,2021-09-28T13:19:44Z,1,1,0,0,N/A,118590,18016,N/A,1,0,0,0,0,0,0
pychromecast,home-assistant-libs/pychromecast,https://github.com/balloob/pychromecast,2.3k,358,Python,2022-06-21T15:46:11Z,0,1,0,0,N/A,6268,5888,0,1,0,0,0,0,0,0
pytradfri,home-assistant-libs/pytradfri,https://github.com/ggravlingen/pytradfri,867,131,Python,2022-06-23T19:12:45Z,0,1,0,0,9.380851064,5446,4879,470,1,72,470,0,0,0,0
QuickbirdUWPDashboard,quickbird-uk/QuickbirdUWPDashboard,https://github.com/quickbird-uk/QuickbirdUWPDashboard,23,7,C#,2018-01-26T00:04:14Z,1,1,0,0,N/A,242381,8934,N/A,0,0,0,0,0,0,0
rpieasy,enesbcs/rpieasy,https://github.com/enesbcs/rpieasy,122,25,Python,2022-06-17T07:22:56Z,0,0,0,1,N/A,54302,50297,0,0,0,0,0,0,0,0
sensor-esp32,openairproject/sensor-esp32,https://github.com/openairproject/sensor-esp32,71,20,C,2017-11-05T19:40:49Z,0,0,0,1,N/A,23741,17665,N/A,1,0,0,0,0,0,0
sitewhere,sitewhere/sitewhere,https://github.com/sitewhere/sitewhere,892,370,Java,2021-03-23T20:20:57Z,1,1,0,0,368.3714286,40895,38784,105,1,0,0,0,0,13,105
smarthome,smarthomeNG/smarthome,https://github.com/smarthomeNG/smarthome,102,89,Java,2022-05-02T11:09:00Z,1,1,0,0,7.219035447,298497,218651,26603,1,0,0,111,845,2126,26603
SmartIR,smartHomeHub/SmartIR,https://github.com/smartHomeHub/SmartIR,1.1k,656,Python,2022-06-15T14:07:32Z,0,1,0,0,N/A,104056,1056,0,0,0,0,0,0,0,0
synse-server,vapor-ware/synse-server,https://github.com/vapor-ware/synse-server,34,10,Python,2022-05-10T18:13:39Z,0,0,1,0,0.8324691579,14440,10249,5593,1,348,5593,0,0,0,0
temperature-machine,tobyweston/temperature-machine,https://github.com/tobyweston/temperature-machine,56,21,Scala,2021-01-02T11:30:01Z,1,1,0,0,N/A,10005,4151,N/A,1,0,0,0,0,0,0
TerrariumPI,theyosh/TerrariumPI,https://github.com/theyosh/TerrariumPI,331,90,JavaScript,2022-06-17T14:06:47Z,1,1,0,0,N/A,410373,219199,0,1,0,0,0,0,0,0
tesla-api,timdorr/tesla-api,https://github.com/timdorr/tesla-api,1.6k,487,Ruby,2022-06-17T23:26:27Z,1,1,0,0,N/A,13557,997,N/A,1,0,0,0,0,0,0
thingsboard,thingsboard/thingsboard,https://github.com/thingsboard/thingsboard,11.9k,3.8k,Java,2022-06-21T14:18:45Z,1,1,0,0,7.19510847,396519,177924,21711,1,86,1362,0,0,1149,21711
thingsboard-gateway,thingsboard/thingsboard-gateway,https://github.com/thingsboard/thingsboard-gateway,1.1k,608,Python,2022-06-22T13:03:41Z,0,0,1,0,N/A,22642,19707,0,1,0,0,0,0,0,0
tuya-convert,ct-Open-Source/tuya-convert,https://github.com/ct-Open-Source/tuya-convert,3.6k,422,Python,2021-01-26T22:40:28Z,0,0,0,0,N/A,1350,626,0,0,0,0,0,0,0,0
tuyapi,codetheweb/tuyapi,https://github.com/codetheweb/tuyapi,1.5k,273,JavaScript,2022-06-22T02:40:04Z,0,1,0,0,8.066666667,33768,2040,225,1,0,0,26,225,0,0
upm,eclipse/upm,https://github.com/eclipse/upm,629,410,C++,2021-07-23T20:02:23Z,0,0,0,1,N/A,167349,48735,N/A,1,9,163,4,18,0,0
VitoWiFi,bertmelis/VitoWiFi,https://github.com/bertmelis/VitoWiFi,85,29,C++,2021-07-30T16:23:21Z,0,0,0,1,N/A,1538,230,N/A,0,0,0,0,0,0,0
vor,futurice/vor,https://github.com/futurice/vor,45,9,Java,2017-02-02T10:00:10Z,1,1,0,1,N/A,25106,5371,0,1,0,0,6,97,0,0
vscp,grodansparadis/vscp,https://github.com/grodansparadis/vscp,47,16,JavaScript,2022-05-17T18:25:21Z,0,0,1,0,N/A,1838606,87946,0,1,0,0,0,0,0,0
WThermostatBeca,klausahrenberg/WThermostatBeca,https://github.com/klausahrenberg/WThermostatBeca,301,88,C,2021-12-19T08:10:47Z,0,0,0,1,N/A,2892,304,N/A,0,0,0,0,0,0,0
yoda.js,yodaos-project/yoda.js,https://github.com/yodaos-project/yoda.js,184,48,JavaScript,2019-10-21T04:22:26Z,0,1,0,0,2.550860197,32571,21259,5987,1,0,0,341,5987,0,0
zmNinja,pliablepixels/zmNinja,https://github.com/pliablepixels/zmNinja,16,254,JavaScript,2021-08-24T18:22:39Z,1,0,0,0,N/A,159875,102453,0,1,1,71,0,0,0,0
Zwave2Mqtt,OpenZWave/Zwave2Mqtt,https://github.com/OpenZWave/Zwave2Mqtt,346,96,JavaScript,2021-02-24T07:41:55Z,0,0,1,0,9.590017825,34497,5941,561,1,0,0,89,561,0,0
