Project Name,Path,LOC
devicehive-java-server,E:/IOT_INFO/repos/devicehive-java-server/devicehive-auth/src/test/java/com/devicehive/resource/JwtTokenResourceTest.java,17
devicehive-java-server,E:/IOT_INFO/repos/devicehive-java-server/devicehive-auth/src/test/java/com/devicehive/resource/JwtTokenResourceTest.java,25
devicehive-java-server,E:/IOT_INFO/repos/devicehive-java-server/devicehive-auth/src/test/java/com/devicehive/service/JwtClientServiceTest.java,17
devicehive-java-server,E:/IOT_INFO/repos/devicehive-java-server/devicehive-auth/src/test/java/com/devicehive/service/JwtClientServiceTest.java,17
devicehive-java-server,E:/IOT_INFO/repos/devicehive-java-server/devicehive-auth/src/test/java/com/devicehive/service/JwtClientServiceTest.java,22
devicehive-java-server,E:/IOT_INFO/repos/devicehive-java-server/devicehive-auth/src/test/java/com/devicehive/service/JwtClientServiceTest.java,4
devicehive-java-server,E:/IOT_INFO/repos/devicehive-java-server/devicehive-backend/src/test/java/com/devicehive/BackendSmokeTest.java,13
devicehive-java-server,E:/IOT_INFO/repos/devicehive-java-server/devicehive-backend/src/test/java/com/devicehive/BackendSmokeTest.java,13
devicehive-java-server,E:/IOT_INFO/repos/devicehive-java-server/devicehive-backend/src/test/java/com/devicehive/BackendSmokeTest.java,16
devicehive-java-server,E:/IOT_INFO/repos/devicehive-java-server/devicehive-backend/src/test/java/com/devicehive/BackendSmokeTest.java,16
devicehive-java-server,E:/IOT_INFO/repos/devicehive-java-server/devicehive-backend/src/test/java/com/devicehive/BackendSmokeTest.java,16
devicehive-java-server,E:/IOT_INFO/repos/devicehive-java-server/devicehive-backend/src/test/java/com/devicehive/BackendSmokeTest.java,12
devicehive-java-server,E:/IOT_INFO/repos/devicehive-java-server/devicehive-backend/src/test/java/com/devicehive/BackendSmokeTest.java,12
devicehive-java-server,E:/IOT_INFO/repos/devicehive-java-server/devicehive-backend/src/test/java/com/devicehive/BackendSmokeTest.java,13
devicehive-java-server,E:/IOT_INFO/repos/devicehive-java-server/devicehive-backend/src/test/java/com/devicehive/BackendSmokeTest.java,22
devicehive-java-server,E:/IOT_INFO/repos/devicehive-java-server/devicehive-backend/src/test/java/com/devicehive/BackendSmokeTest.java,29
devicehive-java-server,E:/IOT_INFO/repos/devicehive-java-server/devicehive-backend/src/test/java/com/devicehive/BackendSmokeTest.java,24
devicehive-java-server,E:/IOT_INFO/repos/devicehive-java-server/devicehive-backend/src/test/java/com/devicehive/BackendSmokeTest.java,23
devicehive-java-server,E:/IOT_INFO/repos/devicehive-java-server/devicehive-backend/src/test/java/com/devicehive/BackendSmokeTest.java,22
devicehive-java-server,E:/IOT_INFO/repos/devicehive-java-server/devicehive-backend/src/test/java/com/devicehive/BackendSmokeTest.java,24
devicehive-java-server,E:/IOT_INFO/repos/devicehive-java-server/devicehive-backend/src/test/java/com/devicehive/BackendSmokeTest.java,28
devicehive-java-server,E:/IOT_INFO/repos/devicehive-java-server/devicehive-backend/src/test/java/com/devicehive/BackendSmokeTest.java,10
devicehive-java-server,E:/IOT_INFO/repos/devicehive-java-server/devicehive-backend/src/test/java/com/devicehive/BackendSmokeTest.java,13
devicehive-java-server,E:/IOT_INFO/repos/devicehive-java-server/devicehive-backend/src/test/java/com/devicehive/BackendSmokeTest.java,13
devicehive-java-server,E:/IOT_INFO/repos/devicehive-java-server/devicehive-frontend/src/test/java/com/devicehive/FrontendSmokeTest.java,7
devicehive-java-server,E:/IOT_INFO/repos/devicehive-java-server/devicehive-frontend/src/test/java/com/devicehive/FrontendSmokeTest.java,7
devicehive-java-server,E:/IOT_INFO/repos/devicehive-java-server/devicehive-frontend/src/test/java/com/devicehive/FrontendSmokeTest.java,8
devicehive-java-server,E:/IOT_INFO/repos/devicehive-java-server/devicehive-frontend/src/test/java/com/devicehive/FrontendSmokeTest.java,12
devicehive-java-server,E:/IOT_INFO/repos/devicehive-java-server/devicehive-frontend/src/test/java/com/devicehive/FrontendSmokeTest.java,11
devicehive-java-server,E:/IOT_INFO/repos/devicehive-java-server/devicehive-frontend/src/test/java/com/devicehive/FrontendSmokeTest.java,40
